origin,ground_truth,latency,hops
RIPE,DE,35.592,14.0
RIPE,DE,30.39275,12.75
RIPE,DE,31.4815,20.75
RIPE,DE,30.822,16.75
RIPE,DE,35.85975,15.0
RIPE,DE,55.96275,20.25
RIPE,DE,39.44475,20.25
RIPE,DE,46.7575,13.0
RIPE,DE,34.96625,15.0
RIPE,DE,39.03575,17.0
RIPE,DE,33.544,14.0
RIPE,DE,32.5965,15.0
RIPE,DE,32.555,18.25
RIPE,DE,35.483,10.0
RIPE,DE,34.5065,11.75
RIPE,DE,47.75275,9.75
RIPE,DE,29.9315,17.25
RIPE,DE,41.7425,12.25
RIPE,DE,39.35775,16.0
RIPE,DE,32.969,18.5
RIPE,DE,46.105,19.0
RIPE,DE,28.80925,18.75
RIPE,DE,30.054,14.0
RIPE,DE,30.96325,14.25
RIPE,DE,34.5525,20.25
RIPE,DE,45.65475,14.5
RIPE,DE,32.55375,17.0
RIPE,DE,32.65825,15.0
RIPE,DE,31.639,18.5
RIPE,DE,38.87875,18.0
RIPE,DE,41.58825,18.5
RIPE,DE,38.165,18.75
RIPE,DE,34.28175,8.25
RIPE,DE,36.00275,20.0
RIPE,DE,44.619,16.0
RIPE,DE,30.78575,14.75
RIPE,DE,34.6225,21.0
RIPE,DE,35.366,20.0
RIPE,DE,43.5515,13.0
RIPE,DE,42.15175,12.0
RIPE,DE,41.241,14.0
RIPE,DE,36.29475,20.0
RIPE,DE,36.1585,16.5
RIPE,DE,39.0555,16.0
RIPE,DE,30.8835,18.0
RIPE,DE,44.7365,15.25
RIPE,DE,42.823,15.0
RIPE,DE,33.1485,4.5
RIPE,DE,29.87275,18.25
RIPE,DE,46.97575,15.0
RIPE,DE,44.89525,11.0
RIPE,DE,44.0245,16.75
RIPE,DE,30.95175,11.5
RIPE,DE,38.74275,14.25
RIPE,DE,27.7795,18.0
RIPE,DE,43.0035,16.0
RIPE,DE,44.21225,12.25
RIPE,DE,42.01125,19.0
RIPE,DE,44.90875,18.0
RIPE,DE,27.88025,18.0
RIPE,DE,38.302,13.5
RIPE,DE,41.142,14.5
RIPE,DE,38.84675,12.25
RIPE,DE,38.28725,21.0
RIPE,DE,43.78475,15.25
RIPE,DE,44.853,19.0
RIPE,DE,42.4255,20.25
